customerid,gender,age,annual_income_(k$),spending_score_(1-100)
1,male,19.0,15.0,39
3,female,20.0,16.0,6
5,female,31.0,17.0,40
7,female,35.0,18.0,6
8,female,23.0,18.0,94
9,male,64.0,19.0,3
10,female,30.0,19.0,72
11,male,67.0,19.0,14
12,female,35.0,19.0,99
13,female,58.0,20.0,15
14,female,24.0,20.0,77
15,male,37.0,20.0,13
16,male,22.0,20.0,79
17,female,35.0,21.0,35
18,male,20.0,21.0,66
19,male,52.0,23.0,29
20,female,35.0,23.0,98
21,male,35.0,24.0,35
22,male,25.0,24.0,73
23,female,46.0,25.0,5
24,male,31.0,25.0,73
25,female,54.0,28.0,14
26,male,29.0,28.0,82
27,female,45.0,28.0,32
28,male,35.0,28.0,61
29,female,40.0,29.0,31
30,female,23.0,29.0,87
31,male,60.0,30.0,4
32,female,21.0,30.0,73
33,male,53.0,33.0,4
34,male,18.0,33.0,92
35,female,49.0,33.0,14
36,female,21.0,33.0,81
37,female,42.0,34.0,17
38,female,30.0,34.0,73
39,female,36.0,37.0,26
40,female,20.0,37.0,75
41,female,65.0,38.0,35
42,male,24.0,38.0,92
43,male,48.0,39.0,36
44,female,31.0,39.0,61
45,female,49.0,39.0,28
46,female,24.0,39.0,65
47,female,50.0,40.0,55
48,female,27.0,40.0,47
49,female,29.0,40.0,42
50,female,31.0,40.0,42
51,female,49.0,42.0,52
52,male,33.0,42.0,60
53,female,31.0,43.0,54
54,male,59.0,43.0,60
55,female,50.0,43.0,45
56,male,47.0,43.0,41
57,female,51.0,44.0,50
58,male,69.0,44.0,46
59,female,27.0,46.0,51
60,male,53.0,46.0,46
61,male,70.0,46.0,56
62,male,19.0,46.0,55
63,female,67.0,47.0,52
64,female,54.0,47.0,59
65,male,63.0,48.0,51
66,male,18.0,48.0,59
67,female,43.0,48.0,50
68,female,68.0,48.0,48
69,male,19.0,48.0,59
70,female,32.0,48.0,47
71,male,70.0,49.0,55
72,female,47.0,49.0,42
73,female,60.0,50.0,49
74,female,60.0,50.0,56
75,male,59.0,54.0,47
76,male,26.0,54.0,54
77,female,45.0,54.0,53
78,male,40.0,54.0,48
79,female,23.0,54.0,52
80,female,49.0,54.0,42
81,male,57.0,54.0,51
82,male,38.0,54.0,55
83,male,67.0,54.0,41
84,female,46.0,54.0,44
85,female,21.0,54.0,57
86,male,48.0,54.0,46
87,female,55.0,57.0,58
88,female,22.0,57.0,55
89,female,34.0,58.0,60
90,female,50.0,58.0,46
91,female,68.0,59.0,55
92,male,18.0,59.0,41
93,male,48.0,60.0,49
94,female,40.0,60.0,40
95,female,32.0,60.0,42
96,male,24.0,60.0,52
97,female,47.0,60.0,47
98,female,27.0,60.0,50
99,male,48.0,61.0,42
100,male,20.0,61.0,49
101,female,23.0,62.0,41
102,female,49.0,62.0,48
103,male,67.0,62.0,59
104,male,26.0,62.0,55
105,male,49.0,62.0,56
106,female,21.0,62.0,42
107,female,66.0,63.0,50
108,male,54.0,63.0,46
109,male,68.0,63.0,43
110,male,66.0,63.0,48
111,male,65.0,63.0,52
112,female,19.0,63.0,54
113,female,38.0,64.0,42
114,male,19.0,64.0,46
115,female,18.0,65.0,48
116,female,19.0,65.0,50
117,female,63.0,65.0,43
118,female,49.0,65.0,59
119,female,51.0,67.0,43
120,female,50.0,67.0,57
121,male,27.0,67.0,56
122,female,38.0,67.0,40
123,female,40.0,69.0,58
124,male,39.0,69.0,91
125,female,23.0,70.0,29
126,female,31.0,70.0,77
127,male,43.0,71.0,35
128,male,40.0,71.0,95
129,male,59.0,71.0,11
130,male,38.0,71.0,75
131,male,47.0,71.0,9
132,male,39.0,71.0,75
133,female,25.0,72.0,34
134,female,31.0,72.0,71
135,male,20.0,73.0,5
136,female,29.0,73.0,88
137,female,44.0,73.0,7
138,male,32.0,73.0,73
139,male,19.0,74.0,10
140,female,35.0,74.0,72
141,female,57.0,75.0,5
142,male,32.0,75.0,93
143,female,28.0,76.0,40
144,female,32.0,76.0,87
145,male,25.0,77.0,12
146,male,28.0,77.0,97
147,male,48.0,77.0,36
148,female,32.0,77.0,74
149,female,34.0,78.0,22
150,male,34.0,78.0,90
151,male,43.0,78.0,17
152,male,39.0,78.0,88
153,female,44.0,78.0,20
154,female,38.0,78.0,76
155,female,47.0,78.0,16
156,female,27.0,78.0,89
157,male,37.0,78.0,1
158,female,30.0,78.0,78
159,male,34.0,78.0,1
160,female,30.0,78.0,73
161,female,56.0,79.0,35
162,female,29.0,79.0,83
163,male,19.0,81.0,5
164,female,31.0,81.0,93
165,male,50.0,85.0,26
166,female,36.0,85.0,75
167,male,42.0,86.0,20
168,female,33.0,86.0,95
169,female,36.0,87.0,27
170,male,32.0,87.0,63
171,male,40.0,87.0,13
172,male,28.0,87.0,75
173,male,36.0,87.0,10
174,male,36.0,87.0,92
175,female,52.0,88.0,13
176,female,30.0,88.0,86
177,male,58.0,88.0,15
178,male,27.0,88.0,69
179,male,59.0,93.0,14
180,male,35.0,93.0,90
181,female,37.0,97.0,32
182,female,32.0,97.0,86
183,male,46.0,98.0,15
184,female,29.0,98.0,88
185,female,41.0,99.0,39
186,male,30.0,99.0,97
187,female,54.0,101.0,24
188,male,28.0,101.0,68
189,female,41.0,103.0,17
190,female,36.0,103.0,85
191,female,34.0,103.0,23
192,female,32.0,103.0,69
193,male,33.0,113.0,8
194,female,38.0,113.0,91
195,female,47.0,120.0,16
196,female,35.0,120.0,79
197,female,45.0,126.0,28
198,male,32.0,126.0,74
199,male,32.0,137.0,18
200,male,30.0,137.0,83
